Areaname,STCOU,Farming,Mining,Construction,Manufacturing,Trans_Pub_Util,Wholesale,Retail,Finance
UNITED STATES,00000,3113000,784200,9446300,19114800,8244400,7584100,27222300,13193800
ALABAMA,01000,56061,9933,156673,370962,116071,105963,406340,147909
"Autauga, AL",01001,463,0,1542,2207,493,0,3892,1017
"Baldwin, AL",01003,1403,198,5943,6156,2449,2148,16184,6779
"Barbour, AL",01005,579,91,457,5344,764,292,2068,570
"Bibb, AL",01007,208,0,842,1033,310,101,793,245
"Blount, AL",01009,1540,0,1459,2634,686,463,2691,818
"Bullock, AL",01011,589,0,0,1219,173,0,506,132
"Butler, AL",01013,573,0,596,1797,407,208,1712,358
"Calhoun, AL",01015,867,0,3104,10587,2322,2770,11663,2393
"Chambers, AL",01017,422,0,1081,5680,803,188,2519,425
"Cherokee, AL",01019,895,0,0,1290,370,277,1379,367
"Chilton, AL",01021,836,0,1262,1689,656,379,2545,552
"Choctaw, AL",01023,270,0,647,2108,232,123,772,0
"Clarke, AL",01025,321,0,757,3275,623,212,2489,625
"Clay, AL",01027,547,0,411,2901,307,63,649,198
"Cleburne, AL",01029,461,0,669,1383,0,88,622,131
"Coffee, AL",01031,1110,0,1085,3920,776,657,4014,1195
"Colbert, AL",01033,737,90,2476,4704,1306,1517,5004,1243
"Conecuh, AL",01035,447,0,0,1200,1032,119,608,164
"Coosa, AL",01037,246,0,134,1193,49,24,182,63
"Covington, AL",01039,1153,0,1080,3247,1392,944,3051,821
"Crenshaw, AL",01041,621,0,344,571,276,780,565,252
"Cullman, AL",01043,2853,0,3421,6684,2307,1414,7443,1841
"Dale, AL",01045,568,0,1180,5299,956,549,2960,854
"Dallas, AL",01047,706,44,1008,5330,801,663,3407,907
"DeKalb, AL",01049,2682,0,2102,13076,1201,1052,4761,1091
"Elmore, AL",01051,732,56,1767,2993,770,373,3621,1083
"Escambia, AL",01053,507,295,1351,3750,2153,403,3177,868
"Etowah, AL",01055,1108,0,2737,8398,2272,1745,9712,2448
"Fayette, AL",01057,390,165,340,2096,418,186,1191,369
"Franklin, AL",01059,1073,0,649,5370,421,283,2019,565
"Geneva, AL",01061,1212,0,675,1292,525,493,1360,430
"Greene, AL",01063,381,0,160,363,198,28,389,83
